STOP! Read the comment in this cell FIRST for sheet instructions and rules. 	 Overall Projects Budget 														 Mud Dumping 														 Coal Ash 														 BCSS 														 Prichard 														 Hog Bayou 														 Toxics Criteria 														 Numeric Nutrient Criteria 														 Dam Removal 														 Poop Policy 														 Oyster Planting Project 														 Oyster Keeper 														 Oyster Hatchery Project 														 Oyster Farm Project 														 Oyster Monitoring Project 														 Project 													 Project Totals 
	 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 	 Project Totals 		 January 	 February 	 March 	 April 	 May 	 June 	 July 	 August 	 September 	 October 	 November 	 December 		 January 
 6340 Printing 	 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $250 		 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $21 	 $250 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 6360 Technology & Software 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 Operations: Human Resources & Culture 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 #REF! 
 6510 Computer Services 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 6540 Events & Retreats 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 6550 Meals 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 Programs: Community Engagement 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 #REF! 
 7010 Contractors 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7020 Supplies 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7030 Technology & Software 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7040 Transportation 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 Conferences 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 Meals 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 Programs: Field Investigation 	 $120 	 $191 	 $-   	 $380 	 $800 	 $1,810 	 $380 	 $1,810 	 $-   	 $90 	 $40 	 $10 	 $5,631 		 $80 	 $-   	 $-   	 $380 	 $800 	 $1,800 	 $380 	 $1,800 	 $-   	 $80 	 $-   	 $-   	 $5,320 		 $40 	 $191 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $40 	 $-   	 $271 		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $10 	 $-   	 $10 	 $-   	 $10 	 $-   	 $10 	 $40 		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 #REF! 
 7305 Baykeeper Boat 	 $90 	 $40 	 $-   	 $50 	 $-   	 $-   	 $50 	 $-   	 $-   	 $50 	 $40 	 $-   	 $320 		 $50 			 $50 			 $50 			 $50 			 $200 		 $40 	 $40 									 $40 		 $120 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7310 Contractors 	 $-   	 $-   	 $-   	 $-   	 $-   	 $1,500 	 $-   	 $1,500 	 $-   	 $-   	 $-   	 $-   	 $3,000 							 $1,500 		 $1,500 					 $3,000 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7315 Field Equipment 	 $-   	 $-   	 $-   	 $-   	 $500 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $500 						 $500 								 $500 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7320 Laboratory 	 $-   	 $-   	 $-   	 $-   	 $300 	 $300 	 $300 	 $300 	 $-   	 $-   	 $-   	 $-   	 $1,200 						 $300 	 $300 	 $300 	 $300 					 $1,200 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7325 Legal Fees 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7330 Technology & Software 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7335 Testing Equipment 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7340 Testing Supplies 	 $-   	 $-   	 $-   	 $300 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $300 					 $300 									 $300 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7345 Transportation Equipment 	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 7350 Travel 	 $30 	 $151 	 $-   	 $30 	 $-   	 $10 	 $30 	 $10 	 $-   	 $40 	 $-   	 $10 	 $311 		 $30 			 $30 			 $30 			 $30 			 $120 			 $151 											 $151 														 $-   							 $10 		 $10 		 $10 		 $10 	 $40 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   															 #REF! 
 Programs: Projects 	 $20,940 	 $22,947 	 $43,602 	 $18,737 	 $23,425 	 $43,320 	 $26,437 	 $21,927 	 $51,045 	 $18,544 	 $21,746 	 $18,580 	 $331,249 		 $9,360 	 $8,860 	 $9,360 	 $8,860 	 $9,360 	 $10,860 	 $9,360 	 $9,360 	 $9,360 	 $8,860 	 $9,360 	 $8,860 	 $111,815 		 $822 	 $5,822 	 $5,822 	 $182 	 $182 	 $182 	 $182 	 $182 	 $182 	 $182 	 $182 	 $182 	 $14,107 		 $17 	 $17 	 $17 	 $47 	 $47 	 $47 	 $47 	 $47 	 $47 	 $47 	 $47 	 $47 	 $476 		 $30 	 $30 	 $4,280 	 $30 	 $4,416 	 $1,416 	 $3,166 	 $30 	 $30 	 $166 	 $166 	 $30 	 $13,791 		 $3,088 	 $3,088 	 $3,088 	 $2,921 	 $2,921 	 $2,921 	 $3,088 	 $3,088 	 $3,088 	 $3,088 	 $3,088 	 $3,088 	 $36,556 		 $-   	 $227 	 $227 	 $1,327 	 $1,327 	 $1,327 	 $5,077 	 $4,850 	 $4,850 	 $3,750 	 $3,750 	 $3,750 	 $30,462 		 $258 	 $-   	 $30 	 $258 	 $30 	 $-   	 $2,258 	 $2,000 	 $2,030 	 $2,258 	 $2,030 	 $2,000 	 $13,151 		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $-   	 $-   	 $15,875 	 $-   	 $-   	 $15,875 	 $-   	 $-   	 $15,875 	 $-   	 $-   	 $-   	 $47,625 		 $-   	 $8 	 $8 	 $247 	 $247 	 $5,797 	 $231 	 $222 	 $222 	 $222 	 $222 	 $222 	 $7,650 		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 $2,000 	 $2,151 	 $3,747 	 $3,584 	 $4,495 	 $4,495 	 $4,495 	 $4,495 	 $4,495 	 $4,495 	 $2,658 	 $1,747 	 $42,858 		 $2,900 	 $400 	 $400 	 $400 	 $400 	 $400 	 $400 	 $400 	 $-   	 $-   	 $-   	 $-   	 $5,700 		 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   	 $-   		 #REF! 
 7405 Boat Equipment 	 $686 	 $686 	 $686 	 $686 	 $686 	 $686 	 $686 	 $400 	 $2,000 	 $-   	 $400 	 $400 	 $8,000 														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   														 $-   						 $286 	 $286 	 $286 	 $286 	 $286 	 $286 	 $286 		 $2,000 		 $400 	 $400 	 $400 	 $400 	 $400 	 $400 	 $400 	 $400 					 $3,200 															 #REF! 
